isFall,AccX(g)1,ΔAccX1,AccY(g)1,ΔAccY1,AccZ(g)1,ΔAccZ1,GyrX(d/s)1,ΔGyrX1,GyrY(d/s)1,ΔGyrY1,GyrZ(d/s)1,ΔGyrZ1,AccX(g)2,ΔAccX2,AccY(g)2,ΔAccY2,AccZ(g)2,ΔAccZ2,GyrX(d/s)2,ΔGyrX2,GyrY(d/s)2,ΔGyrY2,GyrZ(d/s)2,ΔGyrZ2,AccX(g)3,ΔAccX3,AccY(g)3,ΔAccY3,AccZ(g)3,ΔAccZ3,GyrX(d/s)3,ΔGyrX3,GyrY(d/s)3,ΔGyrY3,GyrZ(d/s)3,ΔGyrZ3,AccX(g)4,ΔAccX4,AccY(g)4,ΔAccY4,AccZ(g)4,ΔAccZ4,GyrX(d/s)4,ΔGyrX4,GyrY(d/s)4,ΔGyrY4,GyrZ(d/s)4,ΔGyrZ4,AccX(g)5,ΔAccX5,AccY(g)5,ΔAccY5,AccZ(g)5,ΔAccZ5,GyrX(d/s)5,ΔGyrX5,GyrY(d/s)5,ΔGyrY5,GyrZ(d/s)5,ΔGyrZ5
0,31.74,-17.0,31.33,29.0,0.27,26.0,3903.41,16.0,31.34,-70.0,8.9,-8.0,31.75,21.0,31.17,12.0,0.33,-20.0,3902.44,0.0,5.67,7.0,3987.44,7.0,31.78,-5.0,31.17,7.0,0.35,17.0,3906.34,-32.0,32.44,-10.0,10.43,0.0,31.79,-16.0,31.23,4.0,0.41,-3.0,3902.44,16.0,40.73,-10.0,3995.24,-6.0,31.72,-4.0,31.32,14.0,0.45,-18.0,3905.37,-32.0,81.95,-48.0,3992.93,-2.0
0,0.06,7.0,31.07,7.0,0.13,-15.0,3903.41,-32.0,3988.05,0.0,13.05,3.0,0.13,-9.0,31.09,-4.0,0.19,-7.0,3905.37,0.0,3991.16,-1.0,0.55,-1.0,0.23,24.0,31.09,9.0,0.23,-19.0,3901.46,0.0,14.82,4.0,3983.35,4.0,0.29,18.0,31.12,15.0,0.26,-35.0,3904.39,0.0,21.22,-11.0,3958.78,-7.0,0.42,4.0,31.12,-1.0,0.25,32.0,3902.44,0.0,3983.84,1.0,3944.39,-8.0
1,0.9,-5.0,31.48,45.0,0.02,17.0,3903.41,0.0,3985.85,28.0,3988.11,-1.0,0.88,9.0,31.44,-6.0,0.03,-14.0,3903.41,16.0,4.02,10.0,1.52,1.0,0.85,-47.0,31.44,47.0,0.04,59.0,3902.44,32.0,9.76,-32.0,3988.78,-104.0,0.79,3.0,31.61,-8.0,31.98,-65502.0,3902.44,0.0,2.99,-43.0,2.2,2.0,0.91,-21.0,31.5,-23.0,0.03,0.0,3902.44,16.0,1.22,-3.0,3995.91,-65533.0
0,31.48,14.0,31.41,1.0,31.25,-30.0,3904.39,0.0,8.48,-12.0,0.43,2.0,31.3,-2.0,31.37,12.0,31.2,-26.0,3904.39,-32.0,46.83,46.0,3992.93,-3.0,31.42,-6.0,31.55,-27.0,31.5,23.0,3902.44,32.0,138.96,15.0,0.0,65533.0,31.62,14.0,31.13,4.0,31.51,-2.0,3904.39,0.0,114.57,19.0,46.04,19.0,31.79,-3.0,31.13,-5.0,31.58,5.0,3904.39,-32.0,172.62,-14.0,103.72,-3.0
0,0.52,10.0,31.35,20.0,0.42,-22.0,3903.41,-16.0,84.45,-5.0,3970.55,-6.0,0.54,-3.0,31.46,-9.0,0.44,1.0,3904.39,-32.0,9.39,-55.0,3976.16,3.0,0.52,5.0,31.4,-10.0,0.63,8.0,3904.39,0.0,3994.09,-2.0,3988.23,-10.0,0.58,-3.0,31.3,-4.0,0.4,-9.0,3904.39,-16.0,3951.83,4.0,3992.74,7.0,0.5,-15.0,31.17,-26.0,0.42,1.0,3904.39,-16.0,3908.17,43.0,9.33,-4.0
1,31.87,0.0,31.03,-23.0,0.22,-15.0,3896.59,0.0,3946.83,-9.0,3966.16,-18.0,31.78,15.0,30.85,28.0,0.08,10.0,3893.66,32.0,3944.27,-18.0,3929.33,2.0,31.86,-16.0,30.91,-23.0,31.98,-30.0,3895.61,16.0,3877.44,13.0,3937.93,-6.0,31.96,9.0,31.15,12.0,31.82,9.0,3896.59,-16.0,3939.39,-5.0,3934.15,3.0,0.02,-1.0,31.09,-6.0,31.75,1.0,3895.61,-16.0,3947.8,1.0,3932.62,3.0
1,0.09,-11.0,31.67,-8.0,0.2,18.0,3899.51,-32.0,3900.61,-38.0,3928.23,-9.0,31.65,-9.0,31.24,2.0,31.95,-27.0,3897.56,-16.0,3864.57,25.0,3858.84,-26.0,31.06,-30.0,31.05,19.0,31.63,-24.0,3898.54,0.0,3830.24,10.0,3799.82,-9.0,30.34,-33.0,31.53,7.0,30.91,-69.0,3898.54,-16.0,3552.07,-131.0,3823.11,15.0,30.97,54.0,31.74,16.0,31.6,9.0,3898.54,-16.0,102.26,96.0,3884.82,35.0
0,31.68,-11.0,31.06,-9.0,0.1,-20.0,3903.41,0.0,3.48,-16.0,3990.73,3.0,31.66,-13.0,31.02,15.0,0.17,1.0,3904.39,0.0,13.23,-1.0,3990.73,-1.0,31.73,12.0,31.15,-12.0,0.1,15.0,3906.34,-64.0,23.29,-20.0,3987.87,-3.0,31.76,15.0,31.13,-13.0,0.2,-1.0,3902.44,16.0,72.26,-12.0,8.96,1.0,31.77,-10.0,31.11,-6.0,0.29,-13.0,3905.37,-48.0,58.54,13.0,12.2,4.0
1,31.58,-12.0,31.6,-16.0,0.13,-26.0,3898.54,16.0,3884.21,0.0,45.43,8.0,30.97,-22.0,31.73,-1.0,31.98,6.0,3899.51,-32.0,3781.1,-73.0,59.94,-4.0,30.5,-22.0,31.42,-34.0,31.77,4.0,3900.49,-32.0,3629.76,84.0,3995.06,-40.0,30.75,25.0,31.6,64.0,31.68,1.0,3899.51,0.0,3980.3,-4.0,3944.94,15.0,31.3,1.0,31.88,9.0,31.71,2.0,3901.46,-48.0,3911.89,-51.0,3939.39,-4.0
1,31.58,-12.0,31.6,-16.0,0.13,-26.0,3898.54,16.0,3884.21,0.0,45.43,8.0,30.97,-22.0,31.73,-1.0,31.98,6.0,3899.51,-32.0,3781.1,-73.0,59.94,-4.0,30.5,-22.0,31.42,-34.0,31.77,4.0,3900.49,-32.0,3629.76,84.0,3995.06,-40.0,30.75,25.0,31.6,64.0,31.68,1.0,3899.51,0.0,3980.3,-4.0,3944.94,15.0,31.3,1.0,31.88,9.0,31.71,2.0,3901.46,-48.0,3911.89,-51.0,3939.39,-4.0
0,31.54,0.0,31.56,11.0,31.22,-21.0,3905.37,-32.0,22.07,-4.0,3993.54,-5.0,31.47,11.0,31.53,-24.0,31.14,31.0,3905.37,0.0,11.16,15.0,3976.83,-5.0,31.57,-32.0,31.37,-10.0,31.07,-2.0,3903.41,32.0,24.63,25.0,3964.57,35.0,31.28,-1.0,31.6,12.0,31.19,7.0,3903.41,16.0,3964.94,-1.0,3957.99,-11.0,31.24,10.0,31.55,23.0,31.22,24.0,3904.39,0.0,3965.18,6.0,3927.68,-14.0
0,0.68,4.0,31.46,1.0,0.45,9.0,3905.37,-32.0,35.37,-5.0,3996.04,-65532.0,0.7,-13.0,31.49,-4.0,0.44,13.0,3903.41,16.0,43.78,-11.0,3995.91,-65532.0,0.65,-2.0,31.57,8.0,0.5,-8.0,3906.34,-32.0,12.99,-12.0,3992.13,1.0,0.66,0.0,31.54,29.0,0.51,-40.0,3902.44,0.0,3980.49,-12.0,3993.84,10.0,0.67,-21.0,31.54,0.0,0.56,31.0,3904.39,16.0,40.0,13.0,3991.65,2.0
1,0.96,54.0,31.9,-5.0,0.01,5.0,3920.0,-32.0,3989.27,1.0,3992.5,9.0,1.1,5.0,31.73,-24.0,31.86,-15.0,3919.02,16.0,3.96,20.0,5.37,13.0,0.96,-5.0,31.84,8.0,0.03,25.0,3920.98,-32.0,18.72,-13.0,2.8,0.0,1.01,25.0,31.93,-11.0,31.99,0.0,3920.98,0.0,14.76,-2.0,12.38,7.0,1.01,9.0,31.91,-4.0,31.99,-11.0,3920.98,-32.0,3994.21,-9.0,3992.44,-3.0
0,31.78,-11.0,31.13,23.0,31.73,6.0,3907.32,-32.0,101.1,-20.0,3953.11,10.0,31.85,-11.0,30.98,33.0,31.63,16.0,3907.32,-32.0,22.56,5.0,3982.99,-11.0,31.69,0.0,31.2,-18.0,31.73,21.0,3905.37,32.0,2.62,-6.0,3967.74,-6.0,31.77,3.0,31.04,-9.0,31.76,-11.0,3905.37,-16.0,3987.68,-11.0,3971.71,3.0,31.81,4.0,31.08,-7.0,31.82,24.0,3905.37,16.0,3992.74,-32.0,3988.48,-1.0
0,0.68,-12.0,31.43,11.0,0.41,1.0,3903.41,16.0,3993.72,-4.0,0.18,65524.0,0.66,27.0,31.41,27.0,0.37,22.0,3905.37,-48.0,3995.98,-65534.0,3990.79,0.0,0.72,11.0,31.43,-14.0,0.35,-9.0,3903.41,16.0,3992.32,1.0,0.24,1.0,0.69,0.0,31.37,-5.0,0.38,-15.0,3902.44,32.0,3991.59,3.0,3.11,7.0,0.68,12.0,31.38,5.0,0.32,-11.0,3904.39,0.0,3994.76,6.0,0.49,6.0
0,0.02,-6.0,31.01,45.0,0.14,-33.0,3904.39,32.0,3901.89,-91.0,3932.38,-1.0,0.0,65526.0,31.25,17.0,31.85,-33.0,3906.34,-32.0,210.3,65.0,3963.41,43.0,31.51,63.0,30.6,-123.0,31.87,-284.0,3904.39,32.0,37.93,160.0,98.66,104.0,31.52,-2.0,30.98,-7.0,31.98,20.0,3906.34,0.0,3970.85,-19.0,75.91,-6.0,31.53,-23.0,31.11,-100.0,0.19,10.0,3904.39,32.0,3964.63,-32.0,56.1,-25.0
0,0.58,1.0,31.2,14.0,0.27,-3.0,3907.32,-16.0,3986.34,13.0,4.88,0.0,0.57,7.0,31.29,-4.0,0.24,26.0,3905.37,-16.0,3977.87,-12.0,2.8,1.0,0.57,-2.0,31.19,-2.0,0.25,-10.0,3903.41,80.0,3983.41,9.0,4.39,5.0,0.56,-9.0,31.24,3.0,0.24,-3.0,3907.32,-16.0,3994.33,-14.0,1.28,3.0,0.55,23.0,31.22,-4.0,0.23,-11.0,3905.37,-16.0,3990.49,-15.0,4.63,-3.0
0,0.62,-25.0,31.19,-16.0,0.23,5.0,3902.44,0.0,3948.84,17.0,25.0,-1.0,0.63,-7.0,31.2,0.0,0.14,-10.0,3902.44,0.0,3966.52,30.0,7.74,-1.0,0.57,7.0,31.21,-1.0,0.24,5.0,3904.39,0.0,39.02,21.0,4.76,-5.0,0.5,35.0,31.25,61.0,0.32,0.0,3904.39,-48.0,162.8,-44.0,3981.71,-18.0,0.63,-6.0,31.28,-8.0,0.43,-16.0,3902.44,16.0,4.7,56.0,3983.35,5.0
1,0.88,-27.0,31.44,40.0,0.07,39.0,3910.24,-48.0,3990.61,-38.0,7.93,-30.0,0.85,-6.0,31.48,1.0,0.08,17.0,3907.32,32.0,3995.61,-2.0,4.94,-1.0,0.84,22.0,31.47,-1.0,0.1,-4.0,3909.27,-32.0,1.4,-2.0,0.67,-5.0,0.85,0.0,31.48,-5.0,0.11,1.0,3909.27,-16.0,2.26,-4.0,0.12,2.0,0.85,-6.0,31.48,4.0,0.11,-12.0,3909.27,-16.0,1.52,-2.0,0.43,2.0
0,31.68,-6.0,31.37,16.0,0.61,12.0,3908.29,0.0,1.46,8.0,3995.98,1.0,31.67,1.0,31.42,13.0,0.61,0.0,3905.37,16.0,7.68,-11.0,5.37,4.0,31.65,-1.0,31.43,14.0,0.61,15.0,3906.34,32.0,10.61,-8.0,14.02,2.0,31.61,0.0,31.45,-20.0,0.6,23.0,3907.32,16.0,0.0,65533.0,12.32,-1.0,31.57,-19.0,31.45,5.0,0.58,56.0,3904.39,0.0,12.93,19.0,21.4,-4.0
1,1.01,-5.0,31.81,11.0,31.93,20.0,3921.95,32.0,3994.33,6.0,0.85,4.0,1.0,13.0,31.81,-21.0,31.94,-10.0,3924.88,-16.0,3994.63,-5.0,1.46,-3.0,1.0,-8.0,31.8,-3.0,31.93,-2.0,3920.98,32.0,0.3,2.0,3995.12,0.0,1.0,4.0,31.8,-1.0,31.93,6.0,3921.95,16.0,3994.21,-1.0,3989.39,2.0,1.01,-7.0,31.81,-7.0,31.91,-20.0,3921.95,0.0,3995.67,0.0,3987.13,0.0
0,31.77,44.0,30.52,-56.0,31.83,-39.0,3903.41,-32.0,3893.72,165.0,3974.51,-8.0,31.99,8.0,30.89,28.0,31.88,4.0,3904.39,-32.0,45.37,51.0,3992.62,20.0,31.96,55.0,31.27,-21.0,31.95,-57.0,3904.39,-32.0,3989.63,-102.0,3975.12,-41.0,0.06,-2.0,30.9,-52.0,31.72,-65.0,3902.44,0.0,3942.62,51.0,3972.32,12.0,0.04,-4.0,30.88,-6.0,31.8,-16.0,3904.39,-48.0,3973.29,38.0,3982.93,4.0
0,31.03,9.0,31.44,39.0,31.87,3.0,3905.37,0.0,77.62,0.0,15.24,4.0,31.02,-2.0,31.44,14.0,31.92,8.0,3903.41,16.0,19.02,24.0,15.3,-5.0,30.86,24.0,31.51,9.0,31.91,6.0,3906.34,0.0,41.59,-31.0,3990.61,0.0,30.86,3.0,31.52,4.0,31.88,-9.0,3906.34,0.0,0.18,10.0,3993.23,6.0,30.97,0.0,31.4,-7.0,31.81,1.0,3904.39,0.0,37.2,-6.0,10.0,1.0
0,31.48,-11.0,31.37,-24.0,31.39,38.0,3903.41,-16.0,44.45,27.0,3989.94,-17.0,31.39,8.0,31.28,-13.0,31.29,45.0,3902.44,-32.0,3981.34,-6.0,16.46,0.0,31.48,-1.0,31.18,-5.0,31.42,14.0,3902.44,-32.0,3978.96,-9.0,11.83,-8.0,31.48,0.0,31.44,-22.0,31.37,8.0,3902.44,-16.0,15.49,-68.0,3987.13,-6.0,31.61,7.0,31.31,-7.0,31.45,-41.0,3903.41,-32.0,11.04,-13.0,6.04,19.0
0,31.37,13.0,31.52,7.0,31.48,3.0,3901.46,32.0,46.71,-12.0,15.91,-7.0,31.44,-3.0,31.17,-10.0,31.54,-18.0,3901.46,16.0,3984.51,13.0,3986.77,6.0,31.43,-16.0,31.18,5.0,31.49,23.0,3902.44,0.0,3966.04,-1.0,3961.28,-4.0,31.47,-9.0,31.23,-3.0,31.42,12.0,3904.39,-32.0,3947.62,-9.0,3944.45,4.0,31.43,-20.0,31.28,-6.0,31.45,15.0,3900.49,0.0,3966.34,7.0,3953.17,14.0
0,0.65,5.0,31.32,-8.0,0.34,-11.0,3904.39,16.0,3972.74,2.0,3985.79,-1.0,0.61,-2.0,31.3,12.0,0.31,18.0,3904.39,-16.0,3977.26,-12.0,3993.05,1.0,0.59,21.0,31.23,-4.0,0.24,7.0,3903.41,32.0,3971.65,1.0,3987.38,-5.0,0.58,2.0,31.25,14.0,0.22,-13.0,3905.37,-32.0,3990.37,-15.0,3989.63,4.0,0.58,-1.0,31.23,-5.0,0.28,-4.0,3903.41,0.0,47.13,32.0,3989.94,-2.0
0,31.33,-1.0,31.59,-23.0,31.22,19.0,3904.39,-32.0,3968.29,-21.0,3916.59,8.0,31.48,5.0,31.53,2.0,31.24,19.0,3902.44,32.0,3936.04,6.0,3944.21,8.0,31.5,-3.0,31.48,1.0,31.27,-32.0,3904.39,-16.0,3924.7,0.0,3986.71,16.0,31.53,5.0,31.36,10.0,31.31,-14.0,3904.39,16.0,3954.15,5.0,42.93,2.0,31.56,7.0,31.25,5.0,31.08,2.0,3905.37,-32.0,3970.61,-2.0,54.21,2.0
0,0.06,-23.0,31.62,-5.0,30.94,31.0,3902.44,-64.0,3991.04,14.0,3989.02,5.0,0.09,-6.0,31.67,-6.0,30.91,0.0,3902.44,-16.0,2.8,-3.0,3988.48,11.0,0.07,-2.0,31.69,19.0,30.94,-8.0,3901.46,0.0,3990.3,-16.0,3993.23,-7.0,0.14,2.0,31.63,6.0,30.95,12.0,3902.44,-32.0,3986.04,-2.0,2.68,1.0,0.06,-2.0,31.72,-1.0,30.92,21.0,3902.44,-64.0,0.49,-4.0,3993.23,-1.0
1,31.58,12.0,31.13,6.0,0.16,28.0,3907.32,-48.0,3964.82,54.0,3850.55,-6.0,31.41,10.0,31.17,-12.0,0.15,2.0,3905.37,-32.0,3937.68,14.0,3856.77,7.0,31.07,0.0,31.25,2.0,31.97,-22.0,3904.39,0.0,3850.61,-36.0,3930.0,16.0,30.92,-3.0,31.34,23.0,31.97,12.0,3904.39,0.0,19.82,-5.0,2.99,19.0,31.2,-13.0,31.56,-16.0,0.12,29.0,3904.39,16.0,148.9,76.0,34.82,1.0
1,0.07,-2.0,31.49,-3.0,0.44,0.0,3898.54,16.0,3958.84,-13.0,1.71,9.0,31.89,-10.0,31.69,1.0,0.23,-1.0,3901.46,-32.0,3903.72,-40.0,33.17,6.0,31.26,-44.0,31.27,17.0,0.22,-24.0,3899.51,48.0,3918.41,25.0,29.57,4.0,30.44,-70.0,31.78,26.0,31.74,61.0,3900.49,0.0,3665.98,-195.0,41.59,-5.0,30.89,40.0,31.11,59.0,31.92,-9.0,3901.46,0.0,3659.15,227.0,3927.8,5.0
0,0.22,1.0,31.11,0.0,31.54,12.0,3904.39,-16.0,36.52,13.0,3980.73,0.0,0.28,-26.0,30.87,-48.0,31.35,-53.0,3905.37,0.0,3930.37,-2.0,3947.8,11.0,0.22,-10.0,30.95,-8.0,31.45,-19.0,3904.39,0.0,3965.49,22.0,3964.45,3.0,0.18,-7.0,31.21,4.0,31.4,12.0,3904.39,-32.0,106.77,-43.0,3987.56,5.0,0.28,3.0,31.02,-32.0,31.52,35.0,3906.34,-32.0,147.56,-26.0,9.82,10.0
0,31.11,-3.0,31.37,11.0,0.03,-5.0,3901.46,48.0,3905.18,1.0,3925.0,11.0,31.34,14.0,31.26,-41.0,31.85,4.0,3902.44,32.0,3967.56,38.0,3934.7,8.0,31.62,14.0,31.46,5.0,31.88,-17.0,3902.44,32.0,3831.89,-141.0,3962.74,28.0,31.94,8.0,31.38,-44.0,31.23,-37.0,3904.39,-16.0,3408.48,2.0,52.32,43.0,31.52,2.0,31.29,13.0,31.01,-8.0,3901.46,32.0,3914.09,136.0,12.62,-7.0
1,0.92,3.0,31.5,78.0,31.8,32.0,3924.88,16.0,24.57,31.0,33.78,-3.0,0.97,11.0,31.6,18.0,31.83,7.0,3927.8,48.0,23.78,0.0,54.51,12.0,0.96,-11.0,31.63,5.0,31.94,32.0,3927.8,-32.0,37.62,4.0,79.33,16.0,0.99,-4.0,31.7,3.0,0.09,-29.0,3928.78,-64.0,51.52,2.0,119.21,19.0,0.74,-20.0,31.74,-3.0,0.24,13.0,3925.85,32.0,64.63,14.0,189.33,28.0
0,0.5,10.0,31.32,1.0,0.21,5.0,3902.44,0.0,3986.83,-47.0,10.91,3.0,0.58,-18.0,31.02,-6.0,0.1,-23.0,3902.44,-16.0,3829.33,13.0,37.68,3.0,0.4,-3.0,31.09,7.0,0.06,4.0,3903.41,-16.0,3946.1,-44.0,20.24,-13.0,0.43,4.0,31.17,-2.0,31.81,12.0,3903.41,16.0,3935.79,-36.0,1.16,-7.0,0.41,-5.0,31.23,-2.0,31.87,-9.0,3902.44,0.0,3966.46,-11.0,3962.62,-6.0
0,0.21,-7.0,31.6,-22.0,30.89,30.0,3901.46,16.0,14.82,12.0,3994.51,-2.0,0.08,-27.0,31.79,28.0,30.92,10.0,3900.49,0.0,3990.61,-15.0,5.98,-5.0,0.29,-10.0,31.62,5.0,31.02,15.0,3900.49,0.0,3935.06,32.0,3967.07,-6.0,0.22,-34.0,31.64,74.0,30.88,-44.0,3900.49,16.0,3957.26,35.0,3980.43,-7.0,0.11,15.0,31.79,-7.0,30.9,-3.0,3903.41,0.0,9.7,8.0,3986.04,-5.0
0,0.21,-7.0,31.71,18.0,31.07,-20.0,3901.46,0.0,14.82,-8.0,3.78,-11.0,0.21,-11.0,31.64,-13.0,30.96,-26.0,3901.46,-16.0,3992.87,8.0,3983.66,-1.0,0.24,18.0,31.69,40.0,30.93,-21.0,3901.46,-16.0,3989.45,-23.0,3978.9,2.0,0.21,-14.0,31.66,11.0,30.88,-10.0,3902.44,0.0,4.51,10.0,3971.89,0.0,0.25,-2.0,31.69,15.0,30.91,-22.0,3900.49,48.0,21.95,1.0,3983.6,5.0
1,31.97,-2.0,31.32,1.0,0.56,1.0,3903.41,32.0,15.12,15.0,3993.35,20.0,0.02,8.0,31.6,-4.0,0.43,15.0,3905.37,-16.0,3968.35,-63.0,3986.34,2.0,0.04,-13.0,30.99,-2.0,0.58,5.0,3904.39,32.0,3982.56,25.0,3989.94,1.0,0.02,7.0,31.31,3.0,0.54,1.0,3903.41,64.0,3960.79,-9.0,8.17,12.0,0.01,3.0,31.38,18.0,0.49,-15.0,3905.37,16.0,3993.23,-1.0,34.76,5.0
0,31.67,-27.0,31.52,-17.0,31.09,2.0,3901.46,32.0,2.01,-6.0,5.06,-9.0,31.62,-9.0,31.46,-19.0,31.1,6.0,3905.37,-16.0,3983.11,20.0,5.12,1.0,31.59,46.0,31.46,-14.0,31.19,-42.0,3904.39,0.0,3983.6,35.0,3978.35,4.0,31.6,-10.0,31.5,-24.0,31.01,-42.0,3904.39,0.0,3977.93,-29.0,3991.46,20.0,31.46,-23.0,31.56,30.0,31.21,24.0,3904.39,-16.0,3976.71,20.0,6.71,-5.0
